word|styled-context|chapter|location
sin reparo|"r mejor, porque muchas de ellas habían conseguido ver a Anita como se ven las estatuas. No sabían si era un Fidias o un Praxíteles, pero sí que era una real moza; un bijou, decía la baronesa tronada que había estado ocho días en la Exposición de París.

Su belleza salvó a la huérfana. Se la admitió <span style=""color: rgb(0, 0, 255);"">sin reparo</span> en la clase, en la intimidad de la clase por su hermosura. Nadie se acordaba de la modista italiana.—Tampoco Ana debía mentarla siquiera, según orden expresa de las tías—. Se había olvidado todo, incluso el republicanismo del padre, todo: era un perdón general. Ana era de la clase; la hon"|V|Location 2051
potentado.|".—Tampoco Ana debía mentarla siquiera, según orden expresa de las tías—. Se había olvidado todo, incluso el republicanismo del padre, todo: era un perdón general. Ana era de la clase; la honraba con su hermosura, como un caballo de sangre y de piel de seda honra la caballeriza y hasta la casa de un <span style=""color: rgb(0, 0, 255);"">potentado.</span>

Las señoritas nobles no envidiaban mucho a Anita, porque era pobre. Para ellas la hermosura era cosa secundaria; daban más valor a la dote y a los vestidos, y creían que las proporciones—los novios aceptables—harían lo mismo. Sabían a qué atenerse. En las tertulias, en los bailes, en las"|V|Location 2054
libertinos|"ecundaria; daban más valor a la dote y a los vestidos, y creían que las proporciones—los novios aceptables—harían lo mismo. Sabían a qué atenerse. En las tertulias, en los bailes, en las excursiones campestres no le faltarían a la sobrina adoradores; los muchachos de la aristocracia eran casi todos <span style=""color: rgb(0, 0, 255);"">libertinos</span> más o menos disimulados; les atraería la hermosura de Ana, pero no se casarían con ella. Cada niña aristócrata no necesitaba más cuidado que prohibir a su novio formal—el futuro esposo—hacer el amor a la huérfana, a lo menos en presencia de su futura. Si Anita se descuidaba, pensaban las "|V|Location 2058
huraña....|"rren!¡Aburren! Explíquese usted, señorita. ¿Es que le parece poco fina la sociedad de Vetusta?

Por el usted y la ironía comprendió Ana que doña Anuncia se había disgustado.

—No es eso, tía; es que hay algunos... muy atrevidos.... No sé qué se figuran. Ustedes no quieren que yo sea obscura, seria, <span style=""color: rgb(0, 0, 255);"">huraña....</span>

—Claro que no...—Pues que no sean ellos atrevidos. Si Obdulia les consiente ciertas cosas... yo no quiero, yo no quiero.

—Ni yo quiero tampoco que tú te compares con Obdulia. Ella es... una cualquier cosa, que no sé cómo la admiten en la tertulia; y por darse tono, por decir que es ínti"|V|Location 2082
ten con ten.|"; debí haber callado». Cada vez que faltaba a su propósito de no contradecir a las tías, sentía una especie de remordimiento, como el del artista que se equivoca.

Entró doña Águeda. Había oído la conversación desde el gabinete. Las dos hermanas se miraron. Era llegada la ocasión de explicar lo del <span style=""color: rgb(0, 0, 255);"">ten con ten.</span>

—Oye, Anita—dijo con voz meliflua la perfecta cocinera—; tú eres una niña; y aunque nosotras poco sabemos del mundo, tenemos alguna experiencia, por lo que se observa.

—Eso es; por lo que observamos en los demás.

—En el mundo en que has entrado, y al que perteneces de derecho, es nec"|V|Location 2091
propasarse|"tado que en público los de la clase jamás faltan a la más estricta y meticulosa... eso, decencia.

—Que es lo principal—dijo doña Anuncia, como quien recita el decálogo.

—Nunca habrás visto a Manolito, ni a Paquito, ni al baroncito, ni al vizconde, ni a Mesía, que no es noble, pero anda con ellos, <span style=""color: rgb(0, 0, 255);"">propasarse</span> en lo más mínimo.... Pero en el trato íntimo, el que no es más que de la clase, ya es otra cosa.

—Otra cosa muy distinta—dijo doña Anuncia, comprendiendo que a ella, por mayor en edad, le tocaba seguir explicando el ten con ten.

—Como todos somos parientes—continuó—de cerca o de lejos, "|V|Location 2099
torneado|"nreír, pinchándole con aquellas agujas que tenía entre la blanda crasitud de los ojos. Humilló los suyos don Custodio y pasó cabizbajo, confuso, aturdido en dirección al coro. Era gruesecillo, adamado, tenía aires de comisionista francés vestido con traje talar muy pulcro y elegante. El cuerpo bien <span style=""color: rgb(0, 0, 255);"">torneado</span> se lo ceñía, debajo del manteo ampuloso, un roquete que parecía prenda mujeril, sobre la cual ostentaba la muceta ligera, de seda, propia de su beneficio. Este don Custodio era un enemigo doméstico, un beneficiado de la oposición. Creía, o por lo menos propalaba todas las injurias con que s"|V|Location 2103
pantorrilla|"zas, ella les preparaba un suculento almuerzo en un jardín de fragancias purísimas y penetrantes. Ana aspiraba con placer voluptuoso los aromas ideales de sus visiones turgentes.

Algunas veces, por desgracia, el príncipe ruso vestido con pieles finas o el noble escocés que lucía torneada y robusta <span style=""color: rgb(0, 0, 255);"">pantorrilla</span> con media de cuadros brillantes, se convertían de repente en un caballero enfermo del hígado, pálido, delgado, tocado con sombrero de jipijapa, que se despedía de la señora de sus pensamientos diciendo:

—«Adiosito. Ahorita vuelvo»,—con un balanceo de hamaca en los diminutivos. Era el in"|V|Location 2103
pellizcos,|"—De ninguna manera...—Alguno se propasase a mayores, lo que se llama mayores, sobre todo, tomándolo en serio y obsequiándote (palabra de la juventud de doña Anuncia), obsequiándote en regla, entonces no te fíes; déjale decir, pero no te dejes tocar. Al que te proponga amores formales, no le toleres <span style=""color: rgb(0, 0, 255);"">pellizcos,</span> ni nada que no sea inofensivo. Escandalizarse es ridículo, es como no saber con qué se come alguna cosa....

—Es una falta de educación entre la clase....

—Y tolerar demasiado es exponerse. Tú no te has de casar con ninguno de ellos....

—Ni gana, tía—dijo Anita sin poder contenerse, pes"|V|Location 2111
sacar partido|"o Glocester. Era un poco torcido del hombro derecho don Restituto—por lo demás buen mozo, casi tan alto como el pariente del ministro—, y como este defecto incurable era un obstáculo a las pretensiones de gallardía que siempre había alimentado, discurrió hacer de tripas corazón, como se dice, o sea <span style=""color: rgb(0, 0, 255);"">sacar partido</span>, en calidad de gracia, de aquella tacha con que estaba señalado. En vez de disimularlo subrayaba el vicio corporal torciéndose más y más hacia la derecha, inclinándose como un sauce llorón. Resultaba de aquella extraña postura que parecía Mourelo un hombre en perpetuo acecho, adelantán"|V|Location 2122
prodigado|"s una impertinencia. Lo que está bien, muy bien, y ya ves como lo bueno se te alaba, es que en público mantengas el severo continente que merece no menos elogios del público que tu palmito y buen talle.

—Sí, hija mía—interrumpió doña Águeda—. Es necesario sacar partido de los dones que el Señor ha <span style=""color: rgb(0, 0, 255);"">prodigado</span> en ti a manos llenas.

Ana se moría de vergüenza. Estos elogios eran el mayor martirio. Se figuraba sacada a pública subasta. Doña Águeda y después su hermana trataron con gran espacio el asunto de la cotización probable de aquella hermosura que consideraban obra suya. Para doña Águeda la "|V|Location 2122
elogios|"o de la aristocracia, don Robustiano, que asistía a Anita.

Aquella noche se acordó en la tertulia acoger a la hija de don Carlos como una Ozores, descendiente de la mejor nobleza. No se hablaría para nada de su madre; esto quedaba prohibido, pero ella sería considerada como sobrina de quien tantos <span style=""color: rgb(0, 0, 255);"">elogios</span> merecía.

Gran consuelo recibieron doña Anuncia y doña Águeda al saber por el médico esta resolución de la nobleza vetustense.

Ana estaba muchas horas sola. Sus tías tenían costumbre de trabajar—hacer calceta y colcha—en el comedor; la alcoba de la sobrina estaba al otro extremo de la casa."|V|Location 2138
instruido,|"or allí asomaba la oreja de la modista italiana que, en efecto, debía de haber sido bailarina, como insinuaba doña Camila en su célebre carta».

El cuaderno de versos se había presentado a los padres graves de la aristocracia y del cabildo.

El marqués de Vegallana, a quien sus viajes daban fama de <span style=""color: rgb(0, 0, 255);"">instruido,</span> declaró que los versos eran libres.

Doña Anuncia se volvía loca de ira.

—¿Con que indecentes, libres? ¡Quién lo dijera! La bailarina....

—No, Anuncita, no te alteres. Libres quiere decir blancos, que no tienen consonantes; cosas que tú no entiendes. Por lo demás, los versos no son malo"|V|Location 2160
empalagaba.|"he conocido ninguna literata que fuese mujer de bien.

Lo mismo opinó el barón tronado, que había vivido en Madrid mantenido por una poetisa traductora de folletines.

El señor Ripamilán, canónigo, dijo que los versos eran regulares, acaso buenos, pero de una escuela romántico-religiosa que a él le <span style=""color: rgb(0, 0, 255);"">empalagaba.</span>

—Son imitaciones de Lamartine en estilo pseudoclásico; no me gustan, aunque demuestran gran habilidad en Anita. Además, las mujeres deben ocuparse en más dulces tareas; las musas no escriben, inspiran.

La marquesa de Vegallana, que leía libros escandalosos con singular deleite, condenó"|V|Location 2167
mojigatos.|"n imitaciones de Lamartine en estilo pseudoclásico; no me gustan, aunque demuestran gran habilidad en Anita. Además, las mujeres deben ocuparse en más dulces tareas; las musas no escriben, inspiran.

La marquesa de Vegallana, que leía libros escandalosos con singular deleite, condenó los versos por <span style=""color: rgb(0, 0, 255);"">mojigatos.</span> «Que no se le mezclase a ella lo humano con lo divino. En la iglesia como en la iglesia, y en literatura ancha Castilla». Además, no le gustaba la poesía; prefería las novelas en que se pinta todo a lo vivo, y tal como pasa. «¡Si sabría ella lo que era el mundo! En cuanto a la sobrinita, "|V|Location 2170
sans-culotte.|". Creía firmemente que su marido era un idiota. «¡A qué llamarán talento los maridos!»—pensaba satisfecha de lo pasado.

—Yo no quiero que mi mujer se ponga los pantalones—añadía el afeminado baroncito. Y la marquesa, vengando en él lo de su marido, decía:—Pues hijo mío, serán ustedes un matrimonio <span style=""color: rgb(0, 0, 255);"">sans-culotte.</span>

Fuera de estas defensas relativas de la marquesa, era unánime la opinión: la literata era un absurdo viviente.

—«Tenían razón en este punto aquellos necios, llegó a pensar Ana; no escribiría más». Pero ella se vengaba de las burlas, despreciándolas y desdeñando los obsequios de aquel"|V|Location 2192
enclenques|"ó una indignidad asquerosa semejante idea; ni una sola vez trató de ensayar sus recursos y prefirió creer a su tía: aquellos aristócratas interesados no eran maridos posibles. Se acostumbró a esta idea y miraba a sus amigos y parientes como a los figurines de las sastrerías: en efecto, los veía tan <span style=""color: rgb(0, 0, 255);"">enclenques</span> de espíritu que se le antojaban de papel marquilla.

Los pollos de la aristocracia acabaron por confesar que Ana era una excepción; o calculaba más que sus mismas tías, o era una virtud efectiva.

—«¡Qué diablo, alguna había de haber!». Los seductores de la clase media que anhelaban siemp"|V|Location 2202
papel marquilla.|"una sola vez trató de ensayar sus recursos y prefirió creer a su tía: aquellos aristócratas interesados no eran maridos posibles. Se acostumbró a esta idea y miraba a sus amigos y parientes como a los figurines de las sastrerías: en efecto, los veía tan enclenques de espíritu que se le antojaban de <span style=""color: rgb(0, 0, 255);"">papel marquilla.</span>

Los pollos de la aristocracia acabaron por confesar que Ana era una excepción; o calculaba más que sus mismas tías, o era una virtud efectiva.

—«¡Qué diablo, alguna había de haber!». Los seductores de la clase media que anhelaban siempre meter la cabeza en la aristocracia, declara"|V|Location 2202
comedido...|"meras».

Más de una hora fue viendo aquella nube de polvo que parecía de luz y en medio los ojos de la sobrina.

La sobrina también llevó a casa la imagen de don Álvaro entre ceja y ceja.

Y pensaba:—«Ese era de los menos malos. Parecía más distinguido; y no era pesado; tenía cierta dignidad... era <span style=""color: rgb(0, 0, 255);"">comedido...</span> frío con elegancia... el menos tonto sin duda».

El pesimismo la hizo repetir muchos días seguidos:

—«Se ha ido el menos tonto».

Pero al mes ya no se acordaba de don Álvaro; ni don Álvaro de Ana en cuanto llegó a Madrid.—«¡Oh! el convento, el convento; ese era su recurso más natural y "|V|Location 2217
pulcro|"gistral miró al beneficiado sin sonreír, pinchándole con aquellas agujas que tenía entre la blanda crasitud de los ojos. Humilló los suyos don Custodio y pasó cabizbajo, confuso, aturdido en dirección al coro. Era gruesecillo, adamado, tenía aires de comisionista francés vestido con traje talar muy <span style=""color: rgb(0, 0, 255);"">pulcro</span> y elegante. El cuerpo bien torneado se lo ceñía, debajo del manteo ampuloso, un roquete que parecía prenda mujeril, sobre la cual ostentaba la muceta ligera, de seda, propia de su beneficio. Este don Custodio era un enemigo doméstico, un beneficiado de la oposición. Creía, o por lo menos prop"|V|Location 2237
cabal,|"tivamente, no estaba mal conservado. Era muy pulcro de traje y de aspecto simpático.

«Era un forastero, palabra de sentido especial en Vetusta, para las señoritas de Ozores, que no le habían visto aún en ninguna casa de las suyas».

—Es un magistrado—les había dicho Crespo un día—; un aragonés muy <span style=""color: rgb(0, 0, 255);"">cabal,</span> valiente, gran cazador, muy pundonoroso y gran aficionado de comedias; representa como Carlos Latorre. Sobre todo en el teatro antiguo es lo que hay que ver.

Esto era todo lo que las tías sabían del novio que se les preparaba a escondidas.

Una tarde Crespo, enterado de que la niña ya sabía "|V|Location 2240
desliz|"n cuanto abrió la puerta de la torre y se encontró en la nave Norte de la iglesia, recobró la sonrisa inmóvil, habitual expresión de su rostro, cruzó las manos sobre el vientre, inclinó hacia delante un poco con cierta languidez entre mística y romántica la bien modelada cabeza, y más que anduvo se <span style=""color: rgb(0, 0, 255);"">desliz</span>ó sobre el mármol del pavimento que figuraba juego de damas, blanco y negro. Por las altas ventanas y por los rosetones del arco toral y de los laterales entraban haces de luz de muchos colores que remedaban pedazos del iris dentro de las naves. El manteo que el canónigo movía con un ritmo de "|V|Location 2255
aspavientos|"atas que conocía y trataba.

Pero, sin pensarlo, daba una intención lúbrica y cínica a su mirada, como una meretriz de calleja, que anuncia su triste comercio con los ojos, sin que la policía pueda reivindicar los derechos de la moral pública. La boca muy abierta y desdentada seguía a su manera los <span style=""color: rgb(0, 0, 255);"">aspavientos</span> de los ojos; y Celedonio en su expresión de humildad beatífica pasaba del feo tolerable al feo asqueroso.

Así como en las mujeres de su edad se anuncian por asomos de contornos turgentes las elegantes líneas del sexo, en el acólito sin órdenes se podía adivinar futura y próxima perversi"|V|Location 2256
derretirá|"eso es Anita en mi querida Vetusta. En Vetusta lo mejor es el arbolado.

—Deje usted la flora, don Tomás.

—Tiene usted razón, me pierdo.... Decía que Anita es una mujer de primer orden. ¿Ve usted qué hermoso es su cuerpecito que le tiene a usted hecho un caramelo? Pues cuando vea usted su alma, se <span style=""color: rgb(0, 0, 255);"">derretirá</span> como ese caramelo puesto al sol. Debo advertir a usted que para mí un alma buena no es más que un alma sana; la bondad nace de la salud.

—Es usted un poco materialista, pero yo no me enfado. Decía usted que la niña....

—¡Soy cuerno! señor mío; y usted dispense. A mí no hay que ponerme mo"|V|Location 2267
Soy cuerno!|"tiene a usted hecho un caramelo? Pues cuando vea usted su alma, se derretirá como ese caramelo puesto al sol. Debo advertir a usted que para mí un alma buena no es más que un alma sana; la bondad nace de la salud.

—Es usted un poco materialista, pero yo no me enfado. Decía usted que la niña....

—¡<span style=""color: rgb(0, 0, 255);"">Soy cuerno!</span> señor mío; y usted dispense. A mí no hay que ponerme motes. Aborrezco los sistemas. Lo que digo es que sólo creo en la bondad que da la naturaleza; a un árbol la salud ha de entrarle por las raíces... pues es lo mismo, el alma....

Y seguía filosofando para venir a parar en que Anita era"|V|Location 2269
cuervo|"cha de Vetusta.

Crespo, según él dijo, tomó un día por su cuenta a la joven para recomendarle al señor Quintanar.

«Era el único novio digno de ella. Los cuarenta años y pico eran como los de los árboles que duran siglos, una juventud, la primera juventud. Más viejo es un perro de diez años que un <span style=""color: rgb(0, 0, 255);"">cuervo</span> de ciento, si es cierto que los cuervos duran siglos».

Ana apreciaba en mucho los consejos de Frígilis. Admitió el trato de Quintanar, pero a beneficio de inventario y con las demás condiciones que había impuesto a don Cayetano; no sabrían nada las tías. Don Víctor aceptó aquella manera de s"|V|Location 2275
se sintió herido de punta de amor.|"rutos Redondo, procedente de Matanzas con cargamento de millones. Venía dispuesto a edificar el mejor chalet de Vetusta, a tener los mejores coches de Vetusta, a ser diputado por Vetusta y a casarse con la mujer más guapa de Vetusta. Vio a Anita, le dijeron que aquella era la hermosura del pueblo y <span style=""color: rgb(0, 0, 255);"">se sintió herido de punta de amor.</span> Se le advirtió que no le bastaban sus onzas para conquistar aquella plaza. Entonces se enamoró mucho más. Se hizo presentar en casa de las Ozores y pidió a doña Anuncia la mano de la sobrina.

Después doña Anuncia se encerró en el comedor con doña Águeda, y termina"|V|Location 2305
compareció|"e punta de amor. Se le advirtió que no le bastaban sus onzas para conquistar aquella plaza. Entonces se enamoró mucho más. Se hizo presentar en casa de las Ozores y pidió a doña Anuncia la mano de la sobrina.

Después doña Anuncia se encerró en el comedor con doña Águeda, y terminada la conferencia <span style=""color: rgb(0, 0, 255);"">compareció</span> Anita. Doña Anuncia se puso en pie al lado de la chimenea pseudo-feudal: dejó caer sobre la alfombra La Etelvina, novela que había encantado su juventud, y exclamó:

—Señorita... hija mía; ha llegado un momento que puede ser decisivo en tu existencia. (Era el estilo de La Etelvina.) Tu tí"|V|Location 2308
monjío....|"reo inútil todo este sermón—añadió—porque la niña saltará de alegría en cuanto sepa de lo que se trata.

—Eso quiero; saber en qué puedo yo servir a ustedes a quien tanto debo.

—Todo.—Sí, todo, querida tía.

—Como supongo—prosiguió doña Anuncia—que ya no te acordarás siquiera de aquella locura del <span style=""color: rgb(0, 0, 255);"">monjío....</span>

—No señora...—En ese caso—interrumpió doña Águeda—como no querrás quedarte sola en el mundo el día que nosotras faltemos....

—Ni tendrás ningún amorcillo oculto, que sería indecente....

—Y como nosotras no podemos más....

—Y como es tu deber aceptar la felicidad que se te ofrece....

"|V|Location 2319
dar rienda suelta|"icidad que se te ofrece....

—Te morirás de gusto cuando sepas que don Frutos Redondo, el más rico del Espolón, ha pedido hoy mismo tu mano.

Ana, contra el expreso mandato de sus tías, no se murió de gusto. Calló; no se atrevía a dar una negativa categórica.

Pero doña Anuncia no necesitó más para <span style=""color: rgb(0, 0, 255);"">dar rienda suelta</span> al basilisco que llevaba dentro de sus entrañas. Su sombra en las sombras de la pared, parecía ahora la de una bruja gigantesca; otras veces, multiplicándose por los saltos de la llama y por los saltos y contorsiones de la vieja, figuraba todo el infierno desencadenado; había momen"|V|Location 2327
aurea mediocritas,|"esidente de Sala y quería llevarse a su esposa, si su ardiente deseo era cumplido. Contaba con su sueldo y algunas viñas y no pocos rebaños en la Almunia de don Godino. Nunca hubiera sido osado a pedir la mano de tan preclara, ilustre y hermosa joven sin poder ofrecerle, ya que no la opulencia, una <span style=""color: rgb(0, 0, 255);"">aurea mediocritas,</span> como había dicho el latino».

Doña Anuncia quedó deslumbrada.... ¡Don Godino... mediocritas... la cruz de Isabel la Católica!... Era mucha tentación.

Frígilis había advertido a don Víctor, al ponerle la cruz al pecho, que a doña Anuncia la enamoraban los discursos que no entendía"|V|Location 2340
condecoraciones.|"ediocritas, como había dicho el latino».

Doña Anuncia quedó deslumbrada.... ¡Don Godino... mediocritas... la cruz de Isabel la Católica!... Era mucha tentación.

Frígilis había advertido a don Víctor, al ponerle la cruz al pecho, que a doña Anuncia la enamoraban los discursos que no entendía y las <span style=""color: rgb(0, 0, 255);"">condecoraciones.</span>

Quintanar mientras hablaba se sentía en ridículo; pero la vieja estaba fascinada.

«Don Frutos, pensaba ella había aplastado terrones en los suburbios de Vetusta, doce años antes; se acordaba de haberle visto en mangas de camisa».

La Ozores contestó: «Que ella no podía disponer de"|V|Location 2343
tomar la venia|" la vieja estaba fascinada.

«Don Frutos, pensaba ella había aplastado terrones en los suburbios de Vetusta, doce años antes; se acordaba de haberle visto en mangas de camisa».

La Ozores contestó: «Que ella no podía disponer de la mano de su sobrina, aunque la joven consintiera, sin consultar, sin <span style=""color: rgb(0, 0, 255);"">tomar la venia</span> de la nobleza, de la clase».

Los señores del margen, los de la Audiencia, eran la segunda aristocracia en Vetusta, aunque no figuraban tanto como en otros días.

La justicia era respetada con un terror supersticioso heredado de muchos siglos. Los más soliviantados liberales de Vetust"|V|Location 2347
soliviantados|" consintiera, sin consultar, sin tomar la venia de la nobleza, de la clase».

Los señores del margen, los de la Audiencia, eran la segunda aristocracia en Vetusta, aunque no figuraban tanto como en otros días.

La justicia era respetada con un terror supersticioso heredado de muchos siglos. Los más <span style=""color: rgb(0, 0, 255);"">soliviantados</span> liberales de Vetusta que hablaban de anarquía y de quemarlo todo, temblaban ante la voz de un ujier de la Sala de lo Criminal que gritaba porque un testigo cruzaba las piernas:

—¡Guarden ceremonia! La aristocracia, la primera, opinó que Anita hacía una boda loca.

La hizo. Don Frutos "|V|Location 2350
medrar|"umo se gana la miseria; muchachos y muchachas se comen a miradas, se quieren, hasta se lo dicen... pero lo dejan; falta una posición; las muchachas pierden su hermosura y acaban en beatas; los muchachos dejan el luciente sombrero de copa, se embozan en la capa y se hacen jugadores.

Los que quieren <span style=""color: rgb(0, 0, 255);"">medrar</span> salen del pueblo; allí no hay más ricos que los que heredan o hacen fortuna lejos de la soñolienta Vetusta.

«Entre americanos, pasiegos y mayorazguetes fatuos, burdos y grotescos hubiera podido escoger, seguía pensando Ana. Que lo dijera don Frutos Redondo.... Pero además, ¿para qué engañars"|V|Location 2392
soñolienta|"... pero lo dejan; falta una posición; las muchachas pierden su hermosura y acaban en beatas; los muchachos dejan el luciente sombrero de copa, se embozan en la capa y se hacen jugadores.

Los que quieren medrar salen del pueblo; allí no hay más ricos que los que heredan o hacen fortuna lejos de la <span style=""color: rgb(0, 0, 255);"">soñolienta</span> Vetusta.

«Entre americanos, pasiegos y mayorazguetes fatuos, burdos y grotescos hubiera podido escoger, seguía pensando Ana. Que lo dijera don Frutos Redondo.... Pero además, ¿para qué engañarse a sí misma? No estaba en Vetusta, no podía estar en aquel pobre rincón la realidad del sueño,"|V|Location 2392
inveterada|"able que le acompañara a ver las antigüedades de la catedral y otras de la Encimada. Don Saturnino estaba muy ocupado todo el día, pero de tres a cuatro y media siempre le tenían a su disposición cuantas personas decentes, como él decía, quisieran poner a prueba sus conocimientos arqueológicos y su <span style=""color: rgb(0, 0, 255);"">inveterada</span> amabilidad. Porque además del primer anticuario de la provincia, creía ser—y esto era verdad—el hombre más fino y cortés de España. No era clérigo, sino anfibio. En su traje pulcro y negro de los pies a la cabeza se veía algo que Frígilis, personaje darwinista que encontraremos más adelan"|VI|Location 2413
dejar la toga pretexta y tomar la viril.|"misterioso, donde se contenía toda alegría, toda expansión del ánimo, no se podía hacer nada lícito. Los más bulliciosos muchachos al entrar en el gabinete del tresillo se revestían de una seriedad prematura; parecían sacerdotes jóvenes de un culto extraño. Entrar allí era para los vetustenses como <span style=""color: rgb(0, 0, 255);"">dejar la toga pretexta y tomar la viril.</span> Jugando o viendo jugar estaba siempre algún joven pálido, ensimismado, que afectaba despreciar los vanos placeres hastiado tal vez, y preferir los serios cuidados del solo y el codillo. Examinar con algún detenimiento a los habituales sacerdotes de este culto"|VI|Location 2429
chambones,|"lo y el codillo. Examinar con algún detenimiento a los habituales sacerdotes de este culto ceremonioso y circunspecto de la espada y el basto, es conocer a Vetusta intelectual en uno de sus aspectos característicos.

En efecto, aunque el jefe de Fomento aseguraba que todos los vetustenses eran unos <span style=""color: rgb(0, 0, 255);"">chambones,</span> no era esto más que un pretexto para subir al cuarto del crimen en busca de más pingües y rápidas ganancias; porque jugar se jugaba en el Casino de Vetusta con una perfección que ya era famosa. No faltaban los inexpertos, y aun estos eran necesarios, porque si no ¿quién ganaría a quién? P"|VI|Location 2433
tendieron el vuelo|"a perfección que ya era famosa. No faltaban los inexpertos, y aun estos eran necesarios, porque si no ¿quién ganaría a quién? Pero contra la afirmación del jefe de Fomento protestaban los hechos. De Vetusta y sólo de Vetusta salieron aquellos insignes tresillistas que, una vez en esferas más altas, <span style=""color: rgb(0, 0, 255);"">tendieron el vuelo</span> y llegaron a ocupar puestos eminentes en la administración del Estado, debiéndolo todo a la ciencia de los estuches.

Hay cuatro mesas en sendas esquinas y otros dos pares en medio. De las ocho, la mitad están ocupadas. Alrededor, sentados o en pie varios mirones, los más esclavos"|VI|Location 2437
un duro falso.|" allí muchas personas muy bien educadas, pero como reinaba la mayor confianza solía oírse frases como estas:

—Le digo a usted, que me lo ha dado usted.

—Yo le digo a usted, que no.—Yo le digo a usted, que sí.—Pues miente usted.—Valiente crianza tiene usted.—Mejor que la de usted.... Se trataba de <span style=""color: rgb(0, 0, 255);"">un duro falso.</span> Para que la armonía pudiera subsistir, por una especie de equilibrio que la naturaleza establecía entre los temperamentos, resultaba que unos tresillistas eran temerones y de un genio endiablado, y otros, v. gr. Vinculete, pacíficos como corderos y miedosos como palomas.

Don Basilio "|VI|Location 2456
recibiendo codillos.|"rderos y miedosos como palomas.

Don Basilio aseguraba que el mayorazguete no jugaba con toda la limpieza necesaria.

Vinculete solía sostener los fueros de su dignidad, y entonces gritaba el del Ayuntamiento:

—¡Conmigo nadie se insolenta! Y daba un puñetazo en la mesa.

Vinculete callaba y seguía <span style=""color: rgb(0, 0, 255);"">recibiendo codillos.</span>

Estas disputas, nada frecuentes, interrumpían el silencio pocos instantes; la calma renacía pronto y volvía aquello a ser un templo jamás profanado por ríos de sangre.

El gabinete de lectura, que también servía de biblioteca, era estrecho y no muy largo. En medio había una mes"|VI|Location 2461
hurto|"señorito... se ha perdido la llave.

Los socios antiguos miraban la biblioteca como si estuviera pintada en la pared.

De los periódicos e ilustraciones se hacía más uso; tanto que aquellos desaparecían casi todas las noches y los grabados de mérito eran cuidadosamente arrancados. Esta cuestión del <span style=""color: rgb(0, 0, 255);"">hurto</span> de periódicos era de las difíciles que tenían que resolver las juntas. ¿Qué se hacía? ¿Se les ponía grillete a los papeles? Los socios arrancaban las hojas o se llevaban papel y hierro. Se resolvió últimamente dejar los periódicos libres, pero ejercer una gran vigilancia. Era inútil. Don Fruto"|VI|Location 2484
alcaide|" llevaba el periódico. Aquellos cinco céntimos que ahorraba de esta manera, le sabían a gloria. En cuanto al papel de cartas que desaparecía también, y era más caro, se tomó la resolución de dar un pliego, y gracias, al socio que lo pedía con mucha necesidad. El conserje había adquirido un humor de <span style=""color: rgb(0, 0, 255);"">alcaide</span> de presidio en este trato. Miraba a los socios que leían como a gente de sospechosa probidad; les guardaba escasas consideraciones. No siempre que se le llamaba acudía, y solía negarse a mudar las plumas oxidadas.

Alrededor de la mesa cabían doce personas. Pocas veces había tantos lectores,"|VI|Location 2490
indefectiblemente,|"or parte de los socios amantes del saber no leían más que noticias.

El más digno de consideración, entre los abonados al gabinete de lectura, era un caballero apoplético, que había llevado granos a Inglaterra y se creía en la obligación de leer la prensa extranjera. Llegaba a las nueve de la noche <span style=""color: rgb(0, 0, 255);"">indefectiblemente,</span> tomaba Le Figaro, después The Times, que colocaba encima, se ponía las gafas de oro y arrullado por cierto silbido tenue de los mecheros del gas, se quedaba dulcemente dormido sobre el primer periódico del mundo. Era un derecho que nadie le disputaba. Poco después de morir este se"|VI|Location 2495
sesudos|" y hasta leer de noche, no podía pasar sin la sociedad más animada y galante. El tresillo le aburría y los conciliábulos de canónigos y obispos de levita, como él decía siempre, le ponían triste. «No era liberal ni carlista. Era un sacerdote». La juventud le atraía y prefería su trato al de los más <span style=""color: rgb(0, 0, 255);"">sesudos</span> vetustenses. Los poetillas y gacetilleros de la localidad tenían en él un censor socarrón y malicioso, aunque siempre cortés y afable. Encontrábase en la calle, por ejemplo, con Trifón Cármenes, el poeta de más alientos de Vetusta, el eterno vencedor en las justas incruentas, de la gaya cien"|VI|Location 2528
Antes mentir que exagerar.|"llí se juzgaba a los hombres y los sucesos del día, pero sin apasionamiento; se condenaba, sin ofenderle, a todo innovador, al que había hecho algo que saliese de lo ordinario. Se elogiaba, sin gran entusiasmo, a los ciudadanos que sabían ser comedidos, corteses e incapaces de exagerar cosa alguna. <span style=""color: rgb(0, 0, 255);"">Antes mentir que exagerar.</span> Don Saturnino Bermúdez había recibido más de una vez el homenaje de una admiración prudente en aquel círculo de señores respetables. Pero en general preferían a esto hablar de animales: v. gr., del instinto de algunos, como el perro y el elefante, aunque siempre negándoles"|VI|Location 2596
