word|ch-context-styled|chapter|kindle-location
bata|"as formas y el cutis de Ana, y allá en el fondo del corazón, le envidiaba la piel de tigre. En Vetusta no había tigres; la viuda no podía exigir a sus amantes esta prueba de cariño. Ella tenía a los pies de la cama la caza del león, ¡pero estampada en tapiz miserable!<br><br>Ana corrió con mucho cuidado las colgaduras granate, como si alguien pudiera verla desde el tocador. Dejó caer con negligencia su <span style=""color: rgb(0, 0, 255);"">bata</span> azul con encajes crema, y apareció blanca toda, como se la figuraba don Saturno poco antes de dormirse, pero mucho más hermosa que Bermúdez podía representársela. Después de abandonar todas las prendas que no habían de acompañarla en el lecho, quedó sobre la piel de tigre, hundiendo los pies desnudos, pequeños y rollizos en la espesura de las manchas pardas. Un brazo desnudo se apoyaba en la "|III|Location 1304
palmatoria|" iba a darle el ataque; había que llamar; cogió el cordón de la campanilla, llamó. Pasaron dos minutos. ¿No oían?... Nada. Volvió a empuñar el cordón... llamó. Oyó pasos precipitados. Al mismo tiempo que por una puerta de escape entraba Petra, su doncella, asustada, casi desnuda, se abrió la colgadura granate y apareció el cuadro disolvente, el hombre de la bata escocesa y el gorro verde, con una <span style=""color: rgb(0, 0, 255);"">palmatoria</span> en la mano.<br><br>—¿Qué tienes, hija mía?—gritó don Víctor acercándose al lecho. «Era el ataque, aunque no estaba segura de que viniese con todo el aparato nervioso de costumbre; pero los síntomas los de siempre; no veía, le estallaban chispas de brasero en los párpados y en el cerebro, se le enfriaban las manos, y de pesadas no le parecían suyas...». Petra corrió a la cocina sin esperar órd"|III|Location 1304
tila|" hija mía?—gritó don Víctor acercándose al lecho. «Era el ataque, aunque no estaba segura de que viniese con todo el aparato nervioso de costumbre; pero los síntomas los de siempre; no veía, le estallaban chispas de brasero en los párpados y en el cerebro, se le enfriaban las manos, y de pesadas no le parecían suyas...». Petra corrió a la cocina sin esperar órdenes; ya sabía lo que se necesitaba, <span style=""color: rgb(0, 0, 255);"">tila</span> y azahar.<br><br>Don Víctor se tranquilizó. «Estaba acostumbrado al ataque de su querida esposa; padecía la infeliz, pero no era nada».<br><br>—No pienses en ello, que ya sabes que es lo mejor.<br><br>—Sí, tienes razón; acércate, háblame, siéntate aquí.<br><br>Don Víctor se sentó sobre la cama y depositó un beso paternal en la frente de su señora esposa. Ella le apretó la cabeza contra su pecho y derramó algunas lág"|III|Location 1307
azahar.|"ía?—gritó don Víctor acercándose al lecho. «Era el ataque, aunque no estaba segura de que viniese con todo el aparato nervioso de costumbre; pero los síntomas los de siempre; no veía, le estallaban chispas de brasero en los párpados y en el cerebro, se le enfriaban las manos, y de pesadas no le parecían suyas...». Petra corrió a la cocina sin esperar órdenes; ya sabía lo que se necesitaba, tila y <span style=""color: rgb(0, 0, 255);"">azahar.</span><br><br>Don Víctor se tranquilizó. «Estaba acostumbrado al ataque de su querida esposa; padecía la infeliz, pero no era nada».<br><br>—No pienses en ello, que ya sabes que es lo mejor.<br><br>—Sí, tienes razón; acércate, háblame, siéntate aquí.<br><br>Don Víctor se sentó sobre la cama y depositó un beso paternal en la frente de su señora esposa. Ella le apretó la cabeza contra su pecho y derramó algunas lágrimas. "|III|Location 1308
encantos|"erás como no sigue.<br><br>En efecto, Ana comenzó a sentirse mejor. Hablaron. Ella manifestó una ternura que él le agradeció en lo que valía. Volvió Petra con la tila.<br><br>Don Víctor observó que la muchacha no había reparado el desorden de su traje, que no era traje, pues se componía de la camisa, un pañuelo de lana, corto, echado sobre los hombros y una falda que, mal atada al cuerpo, dejaba adivinar los <span style=""color: rgb(0, 0, 255);"">encantos</span> de la doncella, dado que fueran encantos, que don Víctor no entraba en tales averiguaciones, por más que sin querer aventuró, para sus adentros, la hipótesis de que las carnes debían de ser muy blancas, toda vez que la chica era rubia azafranada....<br><br>Con la tila y el azahar Anita acabó de serenarse. Respiró con fuerza; sintió un bienestar que le llenó el alma de optimismo.<br><br>«¡Qué solícita"|III|Location 1318
toda vez que|"ado el desorden de su traje, que no era traje, pues se componía de la camisa, un pañuelo de lana, corto, echado sobre los hombros y una falda que, mal atada al cuerpo, dejaba adivinar los encantos de la doncella, dado que fueran encantos, que don Víctor no entraba en tales averiguaciones, por más que sin querer aventuró, para sus adentros, la hipótesis de que las carnes debían de ser muy blancas, <span style=""color: rgb(0, 0, 255);"">toda vez que</span> la chica era rubia azafranada....<br><br>Con la tila y el azahar Anita acabó de serenarse. Respiró con fuerza; sintió un bienestar que le llenó el alma de optimismo.<br><br>«¡Qué solícita era Petra! y su Víctor ¡qué bueno!».<br><br>«Y había sido hermoso, no cabía duda. Verdad era que sus cincuenta y tantos años parecían sesenta; pero sesenta años de una robustez envidiable; su bigote blanco, su perilla"|III|Location 1319
rubia azafranada....|"e, que no era traje, pues se componía de la camisa, un pañuelo de lana, corto, echado sobre los hombros y una falda que, mal atada al cuerpo, dejaba adivinar los encantos de la doncella, dado que fueran encantos, que don Víctor no entraba en tales averiguaciones, por más que sin querer aventuró, para sus adentros, la hipótesis de que las carnes debían de ser muy blancas, toda vez que la chica era <span style=""color: rgb(0, 0, 255);"">rubia azafranada....</span><br><br>Con la tila y el azahar Anita acabó de serenarse. Respiró con fuerza; sintió un bienestar que le llenó el alma de optimismo.<br><br>«¡Qué solícita era Petra! y su Víctor ¡qué bueno!».<br><br>«Y había sido hermoso, no cabía duda. Verdad era que sus cincuenta y tantos años parecían sesenta; pero sesenta años de una robustez envidiable; su bigote blanco, su perilla blanca, sus cejas grises "|III|Location 1319
perilla|"la idea de su sacrificio se le apareció de nuevo; pero grande ahora, sublime, como una corriente de ternura capaz de anegar el mundo. La imagen de don Álvaro también fue desvaneciéndose, cual un cuadro disolvente; ya no se veía más que el gabán blanco y detrás, como una filtración de luz, iban destacándose una bata escocesa a cuadros, un gorro verde de terciopelo y oro, con borla, un bigote y una <span style=""color: rgb(0, 0, 255);"">perilla</span> blancos, unas cejas grises muy espesas... y al fin sobre un fondo negro brilló entera la respetable y familiar figura de su don Víctor Quintanar con un nimbo de luz en torno. Aquel era el sujeto del sacrificio, como diría don Cayetano. Ana Ozores depositó un casto beso en la frente del caballero.<br><br>Y sintió vehementes deseos de verle, de besarle en realidad como al cuadro disolvente.<br><br>Mala "|III|Location 1323
cinegético,|"pero se había asustado».<br><br>—Que no, hija mía; que te juro....<br><br>—Que sí, que sí... Don Víctor tomó tila y acto continuo bostezó enérgicamente.<br><br>—¿Tienes frío?—¡Frío yo! Y pensó que dentro de tres horas, antes de amanecer, saldría con gran sigilo por la puerta del parque—la huerta de los Ozores—. Entonces sí que haría frío, sobre todo, cuando llegaran al Montico, él y su querido Frígilis, su Pílades <span style=""color: rgb(0, 0, 255);"">cinegético,</span> como le llamaba.<br><br>Iban de caza; una caza prohibida, a tales horas, por la Regenta. Anita no dejó a Víctor tan pronto como él quisiera. Estaba muy habladora su querida mujercita. Le recordó mil episodios de la vida conyugal siempre tranquila y armoniosa.<br><br>—¿No quisieras tener un hijo, Víctor?—preguntó la esposa apoyando la cabeza en el pecho del marido.<br><br>—¡Con mil amores!—contestó el ex"|III|Location 1334
encarnado;|"osa. ¡Qué de proyectos! ¡qué de horizontes de color de rosa! Y siempre, siempre juntos Víctor y ella.<br><br>—¿Verdad?—Sí, hijita mía, sí; pero debes descansar; te exaltas hablando....<br><br>—Tienes razón; siento una fatiga dulce.... Voy a dormir.<br><br>Él se inclinó para besarle la frente, pero ella echándole los brazos al cuello y hacia atrás la cabeza, recibió en los labios el beso. Don Víctor se puso un poco <span style=""color: rgb(0, 0, 255);"">encarnado;</span> sintió hervir la sangre. Pero no se atrevió. Además, antes de tres horas debía estar camino del Montico con la escopeta al hombro. Si se quedaba con su mujer, adiós cacería.... Y Frígilis era inexorable en esta materia. Todo lo perdonaba menos faltar o llegar tarde a un madrugón por el estilo.<br><br>—«Sálvense los principios»—pensó el cazador.<br><br>—¡Buenas noches, tórtola mía!<br><br>Y se acordó de l"|III|Location 1346
achaques del puntillo|"ó el único libro que tenía sobre la mesa de noche. Era un tomo de mucho bulto. «Calderón de la Barca» decían unas letras doradas en el lomo. Leyó.<br><br>Siempre había sido muy aficionado a representar comedias, y le deleitaba especialmente el teatro del siglo diecisiete. Deliraba por las costumbres de aquel tiempo en que se sabía lo que era honor y mantenerlo. Según él, nadie como Calderón entendía en <span style=""color: rgb(0, 0, 255);"">achaques del puntillo</span> de honor, ni daba nadie las estocadas que lavan reputaciones tan a tiempo, ni en el discreteo de lo que era amor y no lo era, le llegaba autor alguno a la suela de los zapatos. En lo de tomar justa y sabrosa venganza los maridos ultrajados, el divino don Pedro había discurrido como nadie y sin quitar a «El castigo sin venganza» y otros portentos de Lope el mérito que tenían, "|III|Location 1401
sangría suelta.|"venganza los maridos ultrajados, el divino don Pedro había discurrido como nadie y sin quitar a «El castigo sin venganza» y otros portentos de Lope el mérito que tenían, don Víctor nada encontraba como «El médico de su honra».<br><br>—Si mi mujer—decía a Frígilis—fuese capaz de caer en liviandad digna de castigo....<br><br>—Lo cual es absurdo aun supuesto...—Bien, pero suponiendo ese absurdo... yo le doy una <span style=""color: rgb(0, 0, 255);"">sangría suelta.</span><br><br>Y hasta nombraba el albéitar a quien había de llamar y tapar los ojos, con todo lo demás del argumento. Tampoco le parecía mal lo de prender fuego a la casa y vengar secretamente el supuesto adulterio de su mujer. Si llegara el caso, que claro que no llegaría, él no pensaba prorrumpir en preciosa tirada de versos, porque ni era poeta ni quería calentarse al calor de su casa incend"|III|Location 1406
atracón|"n Víctor—jamás se hizo cosa por el estilo en los gloriosos siglos de estos insignes poetas.<br><br>—Afortunadamente—añadía calmándose—yo no me veré nunca en el doloroso trance de escogitar medios para vengar tales agravios; pero juro a Dios que llegado el caso, mis atrocidades serían dignas de ser puestas en décimas calderonianas.<br><br>Y lo pensaba como lo decía. Todas las noches antes de dormir se daba un <span style=""color: rgb(0, 0, 255);"">atracón</span> de honra a la antigua, como él decía; honra habladora, así con la espada como con la discreta lengua. Quintanar manejaba el florete, la espada española, la daga. Esta afición le había venido de su pasión por el teatro. Cuando trabajaba como aficionado, había comprendido en los numerosos duelos que tuvo en escena la necesidad de la esgrima, y con tal calor lo tomó, y tal disposición natural"|III|Location 1418
espadachín|"intanar manejaba el florete, la espada española, la daga. Esta afición le había venido de su pasión por el teatro. Cuando trabajaba como aficionado, había comprendido en los numerosos duelos que tuvo en escena la necesidad de la esgrima, y con tal calor lo tomó, y tal disposición natural tenía, que llegó a ser poco menos que un maestro. Por supuesto, no entraba en sus planes matar a nadie; era un <span style=""color: rgb(0, 0, 255);"">espadachín</span> lírico. Pero su mayor habilidad estaba en el manejo de la pistola; encendía un fósforo con una bala a veinticinco pasos, mataba un mosquito a treinta y se lucía con otros ejercicios por el estilo. Pero no era jactancioso. Estimaba en poco su destreza; casi nadie sabía de ella. Lo principal era tener aquella sublime idea del honor, tan propia para redondillas y hasta sonetos. Él era pací"|III|Location 1421
aparatosa.|"paz de corromper la más pura inocencia; pensó en lo presente. Tal vez había sido providencial aquella aventura de la barca de Trébol. Si al principio, por ser tan niña, no había sacado ninguna enseñanza de aquella injusta persecución de la calumnia, más adelante, gracias a ella, aprendió a guardar las apariencias; supo, recordando lo pasado, que para el mundo no hay más virtud que la ostensible y <span style=""color: rgb(0, 0, 255);"">aparatosa.</span> Su alma se regocijó contemplando en la fantasía el holocausto del general respeto, de la admiración que como virtuosa y bella se le tributaba. En Vetusta, decir la Regenta era decir la perfecta casada. Ya no veía Anita la estúpida existencia de antes. Recordaba que la llamaban madre de los pobres. Sin ser beata, las más ardientes fanáticas la consideraban buena católica. Los más atrevid"|III|Location 1433
regocijó|"s pura inocencia; pensó en lo presente. Tal vez había sido providencial aquella aventura de la barca de Trébol. Si al principio, por ser tan niña, no había sacado ninguna enseñanza de aquella injusta persecución de la calumnia, más adelante, gracias a ella, aprendió a guardar las apariencias; supo, recordando lo pasado, que para el mundo no hay más virtud que la ostensible y aparatosa. Su alma se <span style=""color: rgb(0, 0, 255);"">regocijó</span> contemplando en la fantasía el holocausto del general respeto, de la admiración que como virtuosa y bella se le tributaba. En Vetusta, decir la Regenta era decir la perfecta casada. Ya no veía Anita la estúpida existencia de antes. Recordaba que la llamaban madre de los pobres. Sin ser beata, las más ardientes fanáticas la consideraban buena católica. Los más atrevidos Tenorios, famosos p"|III|Location 1433
sobrios,|"e su esposo la engaña y sale de casa dos horas antes de lo que ella piensa!...<br><br>Frígilis sonrió como un filósofo y echó a andar delante. Era un señor ni alto ni bajo, cuadrado; vestía cazadora de paño pardo; iba tocado con gorra negra con orejeras y por único abrigo ostentaba una inmensa bufanda, a cuadros, que le daba diez vueltas al cuello. Lo demás todo era utensilios y atributos de caza, pero <span style=""color: rgb(0, 0, 255);"">sobrios,</span> como los de un Nemrod.<br><br>Don Víctor, al llegar a la puerta del parque, volvió a mirar hacia el balcón, lleno de remordimientos.<br><br>—Anda, anda, que es tarde—murmuró Frígilis.<br><br>No había amanecido.<br><br>—IV—<br>La familia de los Ozores era una de las más antiguas de Vetusta. Era el tal apellido de muchos condes y marqueses, y pocos nobles había en la ciudad que no fueran, por un lado o por otro, algo"|III|Location 1449
amoríos,|"ejército, comandante del cuerpo. Cansado de casamatas, cortinas, paralelas y castillos, procurose un empleo en la corte y fue perdiendo sus aficiones militares, quedándose sólo con las científicas: prefirió la física, las matemáticas a las aplicaciones de tales ciencias, al arte, y cada día fue menos guerrero. Pero al mismo tiempo se entregaba a las delicias de Capua, y por fin, después de muchos <span style=""color: rgb(0, 0, 255);"">amoríos,</span> tuvo un amor serio, una pasión de sabio (o cosa parecida) que ya no es joven.<br><br>Loco de amor se casó don Carlos Ozores a los treinta y cinco años con una humilde modista italiana que vivía en medio de seducciones sin cuento, honrada y pobre. Esta fue la madre de Ana que, al nacer, se quedó sin ella.<br><br>—«¡Menos mal!»—pensaban las hermanas de don Carlos allá en su caserón de Vetusta.<br><br>Su matr"|IV|Location 1463
puerperio|"onio había originado al coronel un rompimiento con su familia. Se escribieron dos cartas secas y no hubo más relaciones.<br><br>—Si viviera mi padre—pensaba Ozores—de fijo perdonaba este matrimonio desigual.<br><br>—¡Si viviera padre, moriría del disgusto!—decían las solteronas implacables.<br><br>Toda la nobleza vetustense aprobaba la conducta de aquellas señoritas, que vieron un castigo de Dios en el desgraciado <span style=""color: rgb(0, 0, 255);"">puerperio</span> de la modista italiana, su cuñada indigna.<br><br>El palacio de los Ozores era de don Carlos; sus hermanas se lo dijeron en otra carta fría y lacónica:<br><br>«Estaban dispuestas a abandonarlo, si él lo exigía; sólo le pedían que pensase cómo se había de conservar aquel resto precioso de tanta nobleza».<br><br>El coronel contestó «que por Dios y todos los santos continuasen viviendo donde habían nacido, q"|IV|Location 1471
menoscabo|", se quedaron en el palacio para que no se derrumbara.<br><br>A don Carlos le dolió mucho que ni siquiera se le preguntase por su hija. La nobleza vetustense opinó que muerto el perro no se acabase la rabia; que la muerte providencial de la modista no era motivo suficiente para hacer las paces con el infame don Carlos ni para enterarse de la suerte de su hija.<br><br>Tiempo había para proteger a la niña, sin <span style=""color: rgb(0, 0, 255);"">menoscabo</span> de la dignidad, si, como era de presumir, la conducta loca de su padre le arrastraba a la pobreza. Además, se corrió por Vetusta que don Carlos se había hecho masón, republicano y por consiguiente ateo. Sus hermanas se vistieron de negro y en el gran salón, en el estrado, recibieron a toda la aristocracia de Vetusta, como si se tratara de visitas de duelo.<br><br>La estancia estaba casi a obsc"|IV|Location 1480
como v. gr.,|"endía muy pronto, pero no se distinguía por lo original ni por lo prudente. Su amor propio de libre-pensador no había llegado a esa jerarquía del orgullo en que sólo se admite lo que uno crea para sí mismo. De todas maneras, era simpático.<br><br>De sus defectos su hija fue la víctima. Después de llorar mucho la muerte de su esposa, don Carlos volvió a pensar en asuntos que a él se le antojaban serios, <span style=""color: rgb(0, 0, 255);"">como v. gr.,</span> propagar el libre examen dentro de círculo determinado de españoles; procurar el triunfo del sistema representativo en toda su integridad. Tanto valía entonces esto como dedicarse a bandolero sin protección, por lo que toca a la necesidad de vivir a salto de mata. Un conspirador no puede tener consigo una niña sin madre. Le hablaron de colegios, pero los aborrecía. Tomó un aya, una es"|IV|Location 1501
vivir a salto de mata.|"s su hija fue la víctima. Después de llorar mucho la muerte de su esposa, don Carlos volvió a pensar en asuntos que a él se le antojaban serios, como v. gr., propagar el libre examen dentro de círculo determinado de españoles; procurar el triunfo del sistema representativo en toda su integridad. Tanto valía entonces esto como dedicarse a bandolero sin protección, por lo que toca a la necesidad de <span style=""color: rgb(0, 0, 255);"">vivir a salto de mata.</span> Un conspirador no puede tener consigo una niña sin madre. Le hablaron de colegios, pero los aborrecía. Tomó un aya, una española inglesa que en nada se parecía a la de Cervantes, pues no tenía encantos morales, y de los corporales, si de alguno disponía, hacía mal uso. Esto lo ignoraba don Carlos, que admitió el aya en calidad de católica liberal. Se le había dicho:<br><br>—«Es un"|IV|Location 1503
descreídas,|"eral. Se le había dicho:<br><br>—«Es una mujer ilustrada, aunque española; educada en Inglaterra donde ha aprendido el noble espíritu de la tolerancia».<br><br>Y además, curaba el entendimiento y el corazón a los niños con píldoras de la Biblia y pastillas de novela inglesa para uso de las familias. Era, en fin, una hipocritona de las que saben que a los hombres no les gustan las mujeres beatas, pero tampoco <span style=""color: rgb(0, 0, 255);"">descreídas,</span> sino, así un término medio, que los hombres mismos no saben cómo ha de ser. La hipocresía de doña Camila llegaba hasta el punto de tenerla en el temperamento, pues siendo su aspecto el de una estatua anafrodita, el de un ser sin sexo, su pasión principal era la lujuria, satisfecha a la inglesa: una lujuria que pudiera llamarse metodista si no fuera una profanación.<br><br>Tuvo que emigrar do"|IV|Location 1509
retoño|"a italiana que había conseguido casarse con aquel estuco. Anita pagó por los dos.<br><br>El aya afirmaba en todas partes, entre interjecciones aspiradas, que la educación de aquella señorita de cuatro años exigía cuidados muy especiales. Con alusiones maliciosas, vagas y envueltas en misterios a la condición social de la italiana, daba a entender que la ciencia de educar no esperaba nada bueno de aquel <span style=""color: rgb(0, 0, 255);"">retoño</span> de meridionales concupiscencias. En voz baja decía el aya que «la madre de Anita tal vez antes que modista había sido bailarina».<br><br>De todas suertes, doña Camila se rodeó de precauciones pedagógicas y preparó a la infancia de Ana Ozores un verdadero gimnasio de moralidad inglesa. Cuando aquella planta tierna comenzó a asomar a flor de tierra se encontró ya con un rodrigón al lado para que cr"|IV|Location 1535
alfiler|"s en los prados para estudiar la naturaleza que trasladaba al lienzo. Anita volvía de sus escapatorias de salvaje con los ojos y la fantasía llenos de tesoros que fueron lo mejor que gozó en su vida. A los veintisiete años Ana Ozores hubiera podido contar aquel poema desde el principio al fin, y eso que en cada nueva edad le había añadido una parte. En la primera había una paloma encantada con un <span style=""color: rgb(0, 0, 255);"">alfiler</span> negro clavado en la cabeza; era la reina mora; su madre, la madre de Ana que no parecía. Todas las palomas con manchas negras en la cabeza podían ser una madre, según la lógica poética de Anita.<br><br>La idea del libro, como manantial de mentiras hermosas, fue la revelación más grande de toda su infancia. ¡Saber leer! esta ambición fue su pasión primera. Los dolores que doña Camila le hizo pade"|IV|Location 1555
¡a babor, a estribor!|"ros de verdad, a matar infieles o a convertirlos, como Germán quisiera. Germán prefería matarlos; y dicho y hecho se metían en la barca, mientras el barquero dormía a la sombra de un cobertizo en la orilla. A costa de grandes sudores conseguían un ligero balanceo del gran navío que tripulaban y entonces era cuando se creían bogando a toda vela por mares nunca navegados.<br><br>Germán gritaba:—¡Orza!... <span style=""color: rgb(0, 0, 255);"">¡a babor, a estribor!</span> ¡hombre al agua!... ¡un tiburón!...<br><br>Pero tampoco era aquello lo que quería Anita; quería marchar de veras, muy lejos, huyendo de doña Camila. La única ocasión en que Germán correspondió al tipo ideal que de su carácter y prendas se había forjado Anita, fue cuando aceptó la escapatoria nocturna para ver juntos la luna desde la barca y contarse cuentos. Este proyecto le pareci"|IV|Location 1575
desazones|"al tipo ideal que de su carácter y prendas se había forjado Anita, fue cuando aceptó la escapatoria nocturna para ver juntos la luna desde la barca y contarse cuentos. Este proyecto le pareció más viable que el de irse a Morería y se llevó a cabo. Ya se sabe cómo entendió la grosera y lasciva doña Camila la aventura de los niños. Era de tal índole la maldad de esta hembra, que daba por buenas las <span style=""color: rgb(0, 0, 255);"">desazones</span> que el lance pudiera causarle, por la responsabilidad que ella tenía, con tal de ver comprobados por los hechos sus pronósticos.<br><br>—«¡Como su madre!—decía a las personas de confianza—. ¡improper! ¡improper! ¡Si ya lo decía yo! El instinto... la sangre.... No basta la educación contra la naturaleza».<br><br>Desde entonces educó a la niña sin esperanzas de salvarla; como si cultivara una flor pod"|IV|Location 1580
lance|"nte, y estaba dispuesto a convertirse en diligencia si Ana aceptaba el cargo de mula, o viceversa. No era eso. La niña quería ir a tierra de moros de verdad, a matar infieles o a convertirlos, como Germán quisiera. Germán prefería matarlos; y dicho y hecho se metían en la barca, mientras el barquero dormía a la sombra de un cobertizo en la orilla. A costa de grandes sudores conseguían un ligero ba<span style=""color: rgb(0, 0, 255);"">lance</span>o del gran navío que tripulaban y entonces era cuando se creían bogando a toda vela por mares nunca navegados.<br><br>Germán gritaba:—¡Orza!... ¡a babor, a estribor! ¡hombre al agua!... ¡un tiburón!...<br><br>Pero tampoco era aquello lo que quería Anita; quería marchar de veras, muy lejos, huyendo de doña Camila. La única ocasión en que Germán correspondió al tipo ideal que de su carácter y prendas se ha"|IV|Location 1600
torpe|"o Ana misma. Al principio la calumnia habíale hecho poco daño, era una de tantas injusticias de doña Camila; pero poco a poco fue entrando en su espíritu una sospecha, aplicó sus potencias con intensidad increíble al enigma que tanta influencia tenía en su vida, que a tantas precauciones obligaba al aya; quiso saber lo que era aquel pecado de que la acusaban, y en la maldad de doña Camila y en la <span style=""color: rgb(0, 0, 255);"">torpe</span> vida, mal disimulada, de esta mujer, se afiló la malicia de la niña que fue comprendiendo en qué consistía tener honor y en qué perderlo; y como todos daban a entender que su aventura de la barca de Trébol había sido una vergüenza, su ignorancia dio por cierto su pecado. Mucho después, cuando su inocencia perdió el último velo y pudo ella ver claro, ya estaba muy lejos aquella edad; recordab"|IV|Location 1611
gazmoñería|"in discutirla, ciegamente, sin fe en ella, pero sin hacer traición nunca.<br><br>Ya era así cuando su padre volvió de la emigración. No le satisfizo aquel carácter.<br><br>¿No se le había dicho que la niña era un peligro para el honor de los Ozores? Pues él veía, por el contrario, una muchacha demasiado tímida y reservada, de una prudencia exagerada para sus años. Ya le pesaba de haber entregado su hija a la <span style=""color: rgb(0, 0, 255);"">gazmoñería</span> inglesa que, según él, no servía para la raza latina. Volvía de la emigración muy latino. Afortunadamente allí estaba él para corregir aquella educación viciosa. Despidió a doña Camila y se encargó de la instrucción de su hija. En el extranjero se había hecho don Carlos más filósofo y menos político. Para España no había salvación. Era un pueblo gastado. América se tragaba a Europa, ade"|IV|Location 1622
temerarios!|"fé, la divinidad de Cristo. Unos le llamaban el primer demócrata. Otros decían que era un símbolo del sol y los apóstoles las constelaciones del Zodiaco.<br><br>Ana procuraba retirarse en cuanto podía hacerlo sin ofender la susceptibilidad de aquel libre-pensador que era su padre. ¡Con qué tristeza pensaba la niña, sin querer pensarlo, que los amigos de su padre eran personas poco delicadas, habladores <span style=""color: rgb(0, 0, 255);"">temerarios!</span> Y su mismo papá, esto era lo peor, y había que pensarlo también, su querido papá que era un hombre de talento, capaz de inventar la pólvora, un reloj, el telégrafo, cualquier cosa, se iba volviendo loco a fuerza de filosofar, y no sabía vivir con una hija que ya entendía más que él de asuntos religiosos.<br><br>Aquella sumisión exterior, aquel sacrificio de la vida ordinaria, de las relacion"|IV|Location 1633
funámbula|"emental manda que se tape, era lo que ocultaba don Carlos a su hija. Todo lo demás podía y debía conocerlo. ¿Por qué no? Y con multitud de citas explicaba y recomendaba Ozores la educación omnilateral y armónica, como la entendía él.<br><br>—Yo quiero—concluía—que mi hija sepa el bien y el mal para que libremente escoja el bien; porque si no ¿qué mérito tendrán sus obras?<br><br>Sin embargo, si su hija fuese <span style=""color: rgb(0, 0, 255);"">funámbula</span> y trabajase en el alambre, don Carlos pondría una red debajo, aunque perdiese mérito el ejercicio.<br><br>De las novelas modernas algunas le prohibía leer, pero en cuanto se trataba de arte clásico «de verdadero arte», ya no había velos, podía leerse todo. El romántico Ozores era clásico después de su viaje por Italia.<br><br>—¡El arte no tiene sexo!—gritaba—. Vean ustedes, yo entrego a mi hija esos"|IV|Location 1654
estragos.|"toria de Israel.<br><br>—¡Honni soit qui mal y pense!—repetía don Carlos; y lo otro de: Oh, procul, procul estote prophani.<br><br>Y no tomaba más precauciones.<br><br>Por fortuna en el espíritu de Ana la impresión más fuerte del arte antiguo y de las fábulas griegas, fue puramente estética; se excitó su fantasía, sobre todo, y, gracias a ella, no a don Carlos, aquel inoportuno estudio del desnudo clásico no causó <span style=""color: rgb(0, 0, 255);"">estragos.</span><br><br>La muchacha envidiaba a los dioses de Homero que vivían como ella había soñado que se debía vivir, al aire libre, con mucha luz, muchas aventuras y sin la férula de un aya semi-inglesa.<br><br>También envidiaba a los pastores de Teócrito, Bion y Mosco; soñaba con la gruta fresca y sombría del Cíclope enamorado, y gozaba mucho, con cierta melancolía, trasladándose con sus ilusiones a aquella S"|IV|Location 1664
huraña|"nebulosa aventura de la barca de Trébol, que la avergonzaba todavía, miraba con desconfianza, y hasta repugnancia moral, cuanto hablaba de relaciones entre hombres y mujeres, si de ellas nacía algún placer, por ideal que fuese. Aquellas confusiones, mezcla de malicia y de inocencia, en que la habían sumergido las calumnias del aya y los groseros comentarios del vulgo, la hicieron fría, desabrida, <span style=""color: rgb(0, 0, 255);"">huraña</span> para todo lo que fuese amor, según se lo figuraba. Se la había separado sistemáticamente del trato íntimo de los hombres, como se aparta del fuego una materia inflamable. Doña Camila la educaba como si fuera un polvorín. «Se había equivocado su natural instinto de la niñez; aquella amistad de Germán había sido un pecado, ¿quién lo diría? Lo mejor era huir del hombre. No quería más humillaci"|IV|Location 1671
amigotes|" a la Armería, algunas veces al Real y casi siempre a paseo con algunos libre-pensadores, amigos suyos, que se paraban para discutir a cada diez pasos. Eran de esos hombres que casi nunca han hablado con mujeres. Esta especie de varones, aunque parece rara, abunda más de lo que pudiera creerse. El hombre que no habla con mujeres se suele conocer en que habla mucho de la mujer en general; pero los <span style=""color: rgb(0, 0, 255);"">amigotes</span> de Ozores ni esto hacían; eran pinos solitarios del Norte que no suspiraban por ninguna palmera del Mediodía.<br><br>Aunque Ana llegaba a la edad en que la niña ya puede gustar como mujer, no llamaba la atención; nadie se había enamorado de ella. Entre doña Camila y don Carlos habían ajado las rosas de su rostro; aquella turgencia y expansión de formas que al amante del aya le arrancaban chispa"|IV|Location 1684
cursis.|"imaginación le entregaban a Grecia, el Olimpo, el Museo de Pinturas, ella, Ana Ozores, la de carne y hueso, tenía que vivir en una calle estrecha y obscura, en un mísero entresuelo que se le caía sobre la cabeza. Ciertas vecinas querían llevarla a paseo, a una tertulia y a los teatros extraviados que ellas frecuentaban. La pobreza en Madrid tiene que ser o resignada o cursi. Aquellas vecinas eran <span style=""color: rgb(0, 0, 255);"">cursis.</span> Anita no podía sufrirlas; le daban asco ellas, su tertulia y sus teatros. Pronto la llamaron el comino orgulloso, la mona sabia. Los seis meses de aldea los pasaba mucho mejor, aun con ser aquel lugar el de su antiguo cautiverio y el de la aventura de la barca, y la calumnia subsiguiente. Pero de cuantos podrían recordarle aquella vergüenza, sólo veía ella al señor Iriarte, el hombre del a"|IV|Location 1696
